STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GIB,Gibraltar,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,GRL,Greenland,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VAT,Holy See,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,KWT,Kuwait,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,MCO,Monaco,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,NRU,Nauru,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,TKL,Tokelau,A,Annual,FOREST_N,Naturally regenerating forest,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VGB,British Virgin Islands,A,Annual,OTHER,Other areas,PT_LAR,Percentage of land area,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,VGB,British Virgin Islands,A,Annual,OTHER,Other areas,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_LAND_USE@DF_LAND_USE(1.0),Land use,I,RWA,Rwanda,A,Annual,OTHER,Other areas,KM2,Square kilometres,2021,,0,,A,Normal value,0,Units,1,One
